Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
123,tt1043813,2019-08-07,2019-08-07,,Titans,https://www.imdb.com/title/tt1043813/,tvSeries,7.6,45,2018,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",90188,2018-10-03,,,
124,tt0099487,2019-08-26,2019-08-26,,Edward Scissorhands,https://www.imdb.com/title/tt0099487/,movie,7.9,105,1990,"Drama, Fantasy, Romance",469574,1990-12-06,Tim Burton,,
125,tt2306299,2019-09-07,2019-09-07,,Vikings,https://www.imdb.com/title/tt2306299/,tvSeries,8.5,44,2013,"Action, Adventure, Drama, History, Romance, War",483985,2013-03-03,,,
126,tt5715524,2019-09-08,2019-09-08,,Mayans M.C.,https://www.imdb.com/title/tt5715524/,tvSeries,7.6,60,2018,"Crime, Drama, Thriller",15452,2018-09-04,,,
127,tt0289879,2019-09-09,2019-09-09,,The Butterfly Effect,https://www.imdb.com/title/tt0289879/,movie,7.6,113,2004,"Drama, Sci-Fi, Thriller",472275,2004-01-17,"J. Mackye Gruber, Eric Bress",,
128,tt0032455,2019-09-09,2019-09-09,,Fantasia,https://www.imdb.com/title/tt0032455/,movie,7.7,125,1940,"Animation, Family, Fantasy, Music, Musical",93078,1940-11-13,"Samuel Armstrong, Ben Sharpsteen, Hamilton Luske, Paul Satterfield, James Algar, Jim Handley, David Hand, Ford Beebe Jr., Wilfred Jackson, T. Hee, Bill Roberts, Norman Ferguson",,
129,tt1979376,2019-10-04,2019-10-04,,Toy Story 4,https://www.imdb.com/title/tt1979376/,movie,7.7,100,2019,"Animation, Adventure, Comedy, Family, Fantasy",229320,2019-06-11,Josh Cooley,,
130,tt0979432,2019-10-14,2019-10-14,,Boardwalk Empire,https://www.imdb.com/title/tt0979432/,tvSeries,8.5,55,2010,"Crime, Drama, History",181466,2010-09-19,,,
131,tt0078346,2019-11-11,2019-11-11,,Superman,https://www.imdb.com/title/tt0078346/,movie,7.3,143,1978,"Action, Adventure, Sci-Fi",168847,1978-12-10,Richard Donner,,
132,tt0083987,2019-11-11,2019-11-11,,Gandhi,https://www.imdb.com/title/tt0083987/,movie,8.0,191,1982,"Biography, Drama",224948,1982-11-30,Richard Attenborough,,
133,tt0077416,2019-11-27,2019-11-27,,The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.1,183,1978,"Drama, War",328286,1978-12-08,Michael Cimino,,
134,tt1080016,2019-12-30,2019-12-30,,Ice Age: Dawn of the Dinosaurs,https://www.imdb.com/title/tt1080016/,movie,6.9,94,2009,"Animation, Adventure, Comedy, Family",235684,2009-06-26,"Michael Thurmeier, Carlos Saldanha",,
